Chapter,Page,PageRow,PageBodyRows,PageSectionHeaders,PageRenderedRows,StatID,Section,Measure,Source,EarlierYear,LatestYear,Earlier,Latest,Change,EndpointRule,AuditFlag
Chapter 3,1,27,31,5,36,h1b_top10,H-1B Employer Concentration,Top 10 employers’ share of H-1B approvals,FIG305 / Table 3.03,NA,NA,55.2%²⁰⁰⁹,51.5%,-3.8 pp,2017 → 2025,CHECK: earlier cell has no year
Chapter 3,1,28,31,5,36,h1b_riser_1,H-1B Employer Concentration,Largest riser — Google,NA,NA,NA,2.18%²⁰¹⁷,8.34%,+6.2 pp,2017 → 2025,CHECK: source map missing
Chapter 3,1,29,31,5,36,h1b_riser_2,H-1B Employer Concentration,Second-largest riser — LTIMindtree,NA,NA,NA,0%²⁰¹⁷,3.29%,+3.3 pp,2017 → 2025,CHECK: source map missing
Chapter 3,1,30,31,5,36,h1b_faller_1,H-1B Employer Concentration,Largest faller — Cognizant,NA,NA,NA,22.1%²⁰¹⁷,5.97%,-16.1 pp,2017 → 2025,CHECK: source map missing
Chapter 3,1,31,31,5,36,h1b_faller_2,H-1B Employer Concentration,Second-largest faller — Infosys,NA,NA,NA,10.7%²⁰¹⁷,4.37%,-6.4 pp,2017 → 2025,CHECK: source map missing
Chapter 4,1,1,31,3,34,pisa_rank_us_math,US Educational Performance versus ROW,US Math PISA Rank,NA,NA,NA,#19,#34,-15,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 4,1,2,31,3,34,pisa_score_us_math,US Educational Performance versus ROW,US Math PISA Score,NA,NA,NA,493,465,-28,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 4,1,3,31,3,34,pisa_rank_us_science,US Educational Performance versus ROW,US Science PISA Rank,NA,NA,NA,#14,#16,-2,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 4,1,4,31,3,34,pisa_score_us_science,US Educational Performance versus ROW,US Science PISA Score,NA,NA,NA,489²⁰⁰⁶,499,+10,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 4,1,5,31,3,34,pisa_rank_oecd_average_math,US Educational Performance versus ROW,OECD Average Math PISA Rank,NA,NA,NA,#17,#29,-12,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 4,1,6,31,3,34,pisa_score_oecd_average_math,US Educational Performance versus ROW,OECD Average Math PISA Score,NA,NA,NA,500,472,-28,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 4,1,7,31,3,34,pisa_rank_oecd_average_science,US Educational Performance versus ROW,OECD Average Science PISA Rank,NA,NA,NA,#13,#28,-15,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 4,1,8,31,3,34,pisa_score_oecd_average_science,US Educational Performance versus ROW,OECD Average Science PISA Score,NA,NA,NA,495²⁰⁰⁶,485,-10,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 4,1,9,31,3,34,pisa_gap_math,US Educational Performance versus ROW,US Math PISA Score vs OECD Average,NA,NA,NA,+1,-7,-8,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 4,1,10,31,3,34,pisa_gap_science,US Educational Performance versus ROW,US Science PISA Score vs OECD Average,NA,NA,NA,-6²⁰⁰⁶,+14,+20,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 4,1,11,31,3,34,retain_computing,STEM Persistence and Completion,Computer science entrants staying in field,FIG407,NA,NA,49.3%,66.7%,+17.4 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 4,1,12,31,3,34,transition_computing_to_nonstem,STEM Persistence and Completion,Computer science entrants finishing outside STEM,NA,NA,NA,42.4%,27.9%,-14.5 pp,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 4,1,13,31,3,34,retain_engineering,STEM Persistence and Completion,Engineering entrants staying in field,FIG407,NA,NA,62.5%,66.5%,+4.0 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 4,1,14,31,3,34,transition_engineering_to_nonstem,STEM Persistence and Completion,Engineering entrants finishing outside STEM,NA,NA,NA,26.2%,23.3%,-2.9 pp,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 4,1,15,31,3,34,retain_broad_science,STEM Persistence and Completion,Sciences and math entrants staying in field,FIG407,NA,NA,55.3%,47.5%,-7.8 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 4,1,16,31,3,34,transition_sciences_math_to_nonstem,STEM Persistence and Completion,Sciences and math entrants finishing outside STEM,NA,NA,NA,42.3%,48.3%,+6.0 pp,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 4,1,17,31,3,34,switch_never,STEM Persistence and Completion,Never switched majors,TAB402,NA,NA,62.3%,41.8%,-20.5 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 4,1,18,31,3,34,switch_multiple,STEM Persistence and Completion,Switched majors 2+ times,TAB402,NA,NA,5.7%,25.9%,+20.2 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
